YTID,start_seconds,end_seconds,positive_labels,bark_labels
VgIJ6DlKSdU, 0.000, 10.000,/m/0brhx,/m/0brhx
WAhuBGcAzB8, 60.000, 70.000,/m/0brhx,/m/0brhx
Xqn5dl27WY0, 260.000, 270.000,/m/02yds9,/m/02yds9
Xqund-yvNGY, 30.000, 40.000,/m/07qf0zm,/m/07qf0zm
YjmRDFlEql4, 30.000, 40.000,/m/02yds9,/m/02yds9
ZxJmzftSRQw, 15.000, 25.000,/m/02yds9,/m/02yds9
_wDUaoaGnA0, 30.000, 40.000,/m/02yds9,/m/02yds9
a4Ay4RfMm1U, 180.000, 190.000,/m/0brhx,/m/0brhx
aK_uHc3SjHY, 30.000, 40.000,/m/0btp2,/m/0btp2
bKnKulXDecM, 30.000, 40.000,/m/07qf0zm,/m/07qf0zm
bNLZqqpaX70, 63.000, 73.000,/m/02yds9,/m/02yds9
dZGC3-pnbRw, 70.000, 80.000,/m/02yds9,/m/02yds9
dhC-7vSlJEY, 40.000, 50.000,/m/0btp2,/m/0btp2
dsXPTN9YI3o, 20.000, 30.000,/m/0brhx,/m/0brhx
eTo9rNHL1S8, 160.000, 170.000,/m/07qf0zm,/m/07qf0zm
fZrqdZFFb5c, 180.000, 190.000,/m/0brhx,/m/0brhx
jLJzRd2yEAQ, 30.000, 40.000,/m/02yds9,/m/02yds9
jtpBaL2pEkI, 20.000, 30.000,/m/07qf0zm,/m/07qf0zm
kTXk5Yh8Oxc, 180.000, 190.000,/m/0brhx,/m/0brhx
lIk_-vI43S8, 90.000, 100.000,/m/0btp2,/m/0btp2
lgLU93ZOdGU, 260.000, 270.000,/m/0btp2,/m/0btp2
nl1UgSOjhVU, 80.000, 90.000,/m/07qf0zm,/m/07qf0zm
ov0Fe829K7s, 200.000, 210.000,/m/07qf0zm,/m/07qf0zm
p09LWqgAlVI, 110.000, 120.000,/m/0btp2,/m/0btp2
pP-C50PVSbk, 50.000, 60.000,/m/0btp2,/m/0btp2
pzwT0n9BTxU, 90.000, 100.000,/m/0brhx,/m/0brhx
qOvIESa32JA, 0.000, 10.000,/m/0brhx,/m/0brhx
qu1Oz1kBoRA, 180.000, 190.000,/m/02yds9,/m/02yds9
ra39sEws8WU, 30.000, 40.000,/m/07qf0zm,/m/07qf0zm
raww5tvi85A, 40.000, 50.000,/m/02yds9,/m/02yds9
s3BzHO0mT5s, 321.000, 331.000,/m/0btp2,/m/0btp2
suUMt34qu5c, 30.000, 40.000,/m/02yds9,/m/02yds9
yhPFubhO0qA, 30.000, 40.000,/m/0btp2,/m/0btp2
yvGpnxvuwWk, 40.000, 50.000,/m/0btp2,/m/0btp2
